id,context,prompt,speaker_utterance,listener_utterance,exchange_number,s_word_len,l_word_len,empathy,,
hit:11044_conv:22088,disappointed,One time there was a movie I wanted to see that had really good reviews. I went to see it and it was not very good at all,It was the new Jurassic World,Thats too bad! I was hoping that one was going to be good!,2,6,13,1,,
hit:9235_conv:18471,embarrassed,I accidentally passed gas in front of my mother in law. I felt so humiliated.,I accidentally passed gas in front of my mother in law.,Oh no! Did she say anything about it?,1,11,8,2,,
hit:9235_conv:18471,embarrassed,I accidentally passed gas in front of my mother in law. I felt so humiliated.,She told me I am a disgrace. I felt so humiliated.,I think that as a bit harsh! It was not like you did it on purpose thinking it would be funny or anything.,2,11,23,2,,
hit:9029_conv:18059,impressed,It was really cool to be at the award ceremony for my friend whose paper received a scholarship. I knew she had a good piece of writing on her hands that I'd helped edit_comma_ but I didn't expect it to win an award!,My friend wrote a creative writing piece that I helped edit_comma_ and it won her a scholarship. I was so proud_comma_ like a dad_comma_ even though we are roughly the same age.,Congrats to your friend! That is an amazing accomplishment.,1,32,9,3,,
hit:9029_conv:18059,impressed,It was really cool to be at the award ceremony for my friend whose paper received a scholarship. I knew she had a good piece of writing on her hands that I'd helped edit_comma_ but I didn't expect it to win an award!,Yeah it was! I joke with her that I should get a portion of the money since I told her she had a really good piece and that she should submit it. She was not originally going to.,I would be proud of her too! Hopefully her success continues. You sound like a good friend!,2,38,17,3,,
hit:1893_conv:3786,anticipating,I am excited for the new super smash bros game coming out for the switch soon,I am excited for the new super smash bros game coming out for the switch soon,My boyfriend just bought a Nintendo Switch last week. It was expensive!,1,16,12,1,,
hit:1893_conv:3786,anticipating,I am excited for the new super smash bros game coming out for the switch soon,That is a great choice_comma_ I love mine so so much,I will have to ask him about the Super Smash Bro's game. Most likely he is looking forward to it as well!,2,11,22,1,,
hit:5462_conv:10925,disappointed,every week i have a laundry list of things i need to get when i get paid. then pay day comes and it's gone in a second.,every week i have a laundry list of things i need to get when i get paid. then pay day comes and it is gone in a second.,Hm I can relate to that haha,1,28,7,1,,
hit:5462_conv:10925,disappointed,every week i have a laundry list of things i need to get when i get paid. then pay day comes and it's gone in a second.,it is really hard to always be broke,I am not always broke but I feel like what helps is leaving my credit / debit card at home and just carry cash for what I need,2,8,28,1,,
hit:11651_conv:23302,jealous,my coworker got the big promotion that I had been wanting.,My coworker got the job promotion that I had been working so hard to get.,That sucks. I have had that happen. It did not feel good.,1,15,12,1,,
hit:11651_conv:23302,jealous,my coworker got the big promotion that I had been wanting.,It does not I felt I worked harder for it_comma_ too.,Sounds like you deserved that promotion.,2,11,6,1,,
hit:6547_conv:13094,surprised,I bought a book online last week. The company made a mistake and sent me the whole series by accident. I was pleasantly surprised by this.,I bought the first book in a series online last weke. The company messed up and sent me the whole series by accident. I was pleasntly surprised by this.,That is a nice surprise! Did you get charged more later?,1,29,11,1,,
hit:6547_conv:13094,surprised,I bought a book online last week. The company made a mistake and sent me the whole series by accident. I was pleasantly surprised by this.,No I never heard anything from them. And I am not going to tell them.,I would not either. Lucky day for you!,2,15,8,1,,
hit:1383_conv:2767,furious,I was upset at the way the school is functioning this year.,I have been upset at the way my daughters' school has changed this year.,Oh no_comma_ what happened?,1,14,4,2,,
hit:1383_conv:2767,furious,I was upset at the way the school is functioning this year.,they have changed the way we pick up the kids in the afternoon to where it is much more confusing.,That is not good. Maybe they are trying to protect them better_comma_ but have not figured out a good plan,2,20,20,2,,
hit:9830_conv:19660,disgusted,I left my dog alone in the house when I went to get the mail. While I was gone she got in the cat box and ate the cat poop_comma_ super gross.,I left my dog alone in the house when I went to get the mail. While I was gone she got in the cat box and ate the cat poop_comma_ super gross.,I would have hated to clean that up. I wonder why they do that?,1,32,14,2,,
hit:9830_conv:19660,disgusted,I left my dog alone in the house when I went to get the mail. While I was gone she got in the cat box and ate the cat poop_comma_ super gross.,There was nothing to clean.... she definitely swallowed it. I stuck her outside because I cannot even think about dealing with her licking anything right now. Gives me the hebbie jibbes thinking about it.,Yea that is so gross but also kind of funny. I cant help but laugh.,2,34,15,2,,
hit:5560_conv:11120,proud,I'm really pleased with myself! I've worked really hard lately and paid cash for all new kitchen appliances!,I am really pleased with myself! I have worked really hard lately and I was able to pay cash for all new kitchen appliances!,That something which you should be proud of.,1,24,8,2,,
hit:5560_conv:11120,proud,I'm really pleased with myself! I've worked really hard lately and paid cash for all new kitchen appliances!,Yes_comma_ it was nice not having to pay interest on such a large purchase!,I hate interest too. It is always to pay cash.,2,14,10,2,,
hit:2468_conv:4936,terrified,I was so scared when I watched the new Insidious movie. I am such a scaredy cat!,I was so scared when I watched the new Insidious movie. I am such a scaredy cat!,I do not like those movies because of that,1,17,9,1,,
hit:2468_conv:4936,terrified,I was so scared when I watched the new Insidious movie. I am such a scaredy cat!,Yeah_comma_ I do not know what I was thinking.,I guess try and forget about it,2,9,7,1,,
hit:6614_conv:13229,sad,I am having a hard time coping with having to kick someone out. I know it's been necessary for them to get better but it doesn't make it any easier,I am having a hard time coping with having to kick someone out.,Are you kicking them out for a valid reason?,1,13,9,3,,
hit:6614_conv:13229,sad,I am having a hard time coping with having to kick someone out. I know it's been necessary for them to get better but it doesn't make it any easier,YEP! They are abusive and need lots of help I am not offering anymore..They have to want it for themselves!. I know it is been necessary for them to get better but it does not make it any easier,Just make it short and sweet.,2,39,6,3,,
hit:11639_conv:23279,jealous,In university_comma_ for my major of social work_comma_ we all get mandatory internships where they place us in certain ones and we have no control over it. Some other students received cool internship placements_comma_ and I feel like mine doesn't compare. Kind of disappointed I didn't get something more interesting.,In university_comma_ for my major of social work_comma_ we all get mandatory internships where they place us in certain ones and we have no control over it. Some other students received cool internship placements_comma_ and I feel like mine does not compare. Kind of disappointed I did not get something more interesting,That is unfortunate. At least you can use the experience with your current internship to get you to another place you want to go!,1,52,24,3,,
hit:11639_conv:23279,jealous,In university_comma_ for my major of social work_comma_ we all get mandatory internships where they place us in certain ones and we have no control over it. Some other students received cool internship placements_comma_ and I feel like mine doesn't compare. Kind of disappointed I didn't get something more interesting.,Yeah_comma_ that is kind of true. We cannot change them while in school. They have to place so many people_comma_ so they cannot really give people the flexibility of choosing where they want to go_comma_ or else that would get too complex and hectic. So_comma_ I understand that. But still.. some of these places do not match up to some others. I will be twiddling my thumbs and not learning much_comma_ while others will get a good experience. I guess I just have to make the most of it.,That is a great attitude. You will be fine_comma_ and can use this as a learning experience,2,89,17,3,,
hit:9411_conv:18822,grateful,I locked my keys in the car and didnt have a spare one.,I locked my keys in the car and didnt have a spare one.,That is the worst! What did you do?,1,13,8,2,,
hit:9411_conv:18822,grateful,I locked my keys in the car and didnt have a spare one.,Luckily there was a police officer near by and he helped me get it unlocked i was so happy.,Saved you the money from having to call pop a lock.,2,19,11,2,,
hit:7560_conv:15120,prepared,I have done lots of research for my interview next week,I have an interview this week. I have been doing lots of research for it.,What is the interview for?,1,15,5,1,,
hit:7560_conv:15120,prepared,I have done lots of research for my interview next week,A job with a homeless charity,That sounds like a great job.,2,6,6,1,,
hit:4662_conv:9324,sad,I was upset when my parents told me we would be moving_comma_ we went all the way to florida,I was upset when my parents told me we would be moving_comma_ we went all the way to florida,Oh sorry to hear that.. Do not you like florida?,1,19,10,3,,
hit:4662_conv:9324,sad,I was upset when my parents told me we would be moving_comma_ we went all the way to florida,I do not_comma_ it is too hot and rainy all year,That Is true.. But why do not you give it a chance? may be you will end up liking it,2,11,20,3,,
hit:4662_conv:9328,grateful,I've reached a decent enough point in my life at the moment. I'm doing ok for myself for the first time in awhile. Thanks to some self sufficiency and some help from friends and family im on my feet again.,I was going through some trouble in the past couple years financially and mentally. I am in a good spot now though thanks to my family and friends.,That is awesome. Friends are great for support! How did they help?,1,28,12,3,,
hit:4662_conv:9328,grateful,I've reached a decent enough point in my life at the moment. I'm doing ok for myself for the first time in awhile. Thanks to some self sufficiency and some help from friends and family im on my feet again.,Thanks to the connections through my friends I was able to get a decent enough job and find a good place to live on my own. They really pulled through for me.,What a good story. It is great to hear about success stories like that!,2,32,14,3,,
hit:2676_conv:5352,guilty,I had a drunken one night stand.,I feel so bad for having a drunken one night stand.,Why does that make you feel bad? You are allowed to have fun sometimes.,1,11,14,1,,
hit:2676_conv:5352,guilty,I had a drunken one night stand.,Because I am married.,Oh that would be tough. Have you told your partner?,2,4,10,1,,
hit:5935_conv:11870,impressed,I was pretty amazed at these monks I in India I saw who were dragging a whole car in neutral by their testicles. I would never do that but hey it beats calling AAA any day!,I saw something near impossible...some Indian monks taking turns dragging forward a Subaru in neutral by their testicles...looked painful but hey it beats calling AAA I guess,I find this context hard to believe.,1,27,7,1,,
hit:5935_conv:11870,impressed,I was pretty amazed at these monks I in India I saw who were dragging a whole car in neutral by their testicles. I would never do that but hey it beats calling AAA any day!,It is a documentary about the Aghori Sadhus you should check it out if you are bored lol,Oh geez! Really_comma_ that is interesting_comma_ but why would they want too!,2,18,12,1,,
hit:4165_conv:8331,devastated,My mom called about a year ago to let me know she had cancer,My mom called me about a year ago and told me she had cancer.,Is she doing okay now?,1,14,5,3,,
hit:4165_conv:8331,devastated,My mom called about a year ago to let me know she had cancer,Yes_comma_ she had a really difficult 6 months and then things started improving.,great_comma_ I am very glad to hear she is getting better!,2,13,11,3,,
hit:226_conv:452,annoyed,During college_comma_ I was bullied.,During college_comma_ I was bullied.,That is terrible. Were you able to do anything about it?,1,5,11,2,,
hit:226_conv:452,annoyed,During college_comma_ I was bullied.,No_comma_ it was terrible period for me. There was sometime that could sleep a full night.,Did you speak to a counselor_comma_ priest_comma_ or family member about it?,2,16,12,2,,
hit:5916_conv:11832,terrified,i was scared walking home the other night,i was scared walking home the other night,Oh no! What happened?,1,8,4,1,,
hit:5916_conv:11832,terrified,i was scared walking home the other night,someone walked behind me the entire way,Wow! I would have been spooked about that too. What did you do?,2,7,13,1,,
hit:7519_conv:15039,hopeful,I feel weird since yesterday.... I better not be getting sick,I feel weird since yesterday.... I better not be getting sick,uh oh_comma_ thats no good_comma_ do you have any sick days to take form work?,1,11,15,1,,
hit:7519_conv:15039,hopeful,I feel weird since yesterday.... I better not be getting sick,Yes I do but I was hoping to save them for something else sadly,uh oh_comma_ so you just gonna drink a bunch of coffee?,2,14,11,1,,
hit:3587_conv:7175,proud,I finally got my CCNA certificatoin.,I finally got my CCNA certification.,oh that sounds good,1,6,4,3,,
hit:3587_conv:7175,proud,I finally got my CCNA certificatoin.,I hope to put it to use soon.,ya you should and you be proud of your achievement,2,8,10,3,,
hit:4650_conv:9300,sad,My Mother had called to set up a time to meet for lunch. When the time came she couldn't make it because of health problems.,My Mother and I made plans to hang out and do lunch this past week.,Really?,1,15,1,3,,
hit:4650_conv:9300,sad,My Mother had called to set up a time to meet for lunch. When the time came she couldn't make it because of health problems.,Unfortunately she was unable to make it because her diabetes is wreking her health.,So sorry about that,2,14,4,3,,
hit:6564_conv:13129,furious,ok,ok,Do you have a topic to discuss?,1,1,7,1,,
hit:6564_conv:13129,furious,ok,joyfull,:( fantastic...,2,1,2,1,,
hit:7770_conv:15541,content,I just ate breakfast and did all my chores. Now I can relax for the rest of the day.,I just ate breakfast and did all my chores. Now I can relax for the rest of the day.,Relaxation is very needful,1,19,4,1,,
hit:7770_conv:15541,content,I just ate breakfast and did all my chores. Now I can relax for the rest of the day.,Indeed it is. I think its well deserved.,Yes_comma_its well deserved_comma_very wrlcomed,2,8,4,1,,
hit:9211_conv:18422,nostalgic,This time of year makes me miss being a kid and watching football with my dad. I do miss him,The time of year makes me miss being a kid watching football with my dad. I do miss him,That is too bad. Do you have any friends or other family that you can do that with?,1,19,18,1,,
hit:9211_conv:18422,nostalgic,This time of year makes me miss being a kid and watching football with my dad. I do miss him,I do_comma_ but its not the same so far,I am sure. I do hope you find peace with your football watching and your good ole dad.,2,9,18,1,,
hit:10276_conv:20553,anticipating,I am looking forward to my wedding date!,I am looking forward to my wedding date! Of course you are also invited! :),Oh that is definitely something to be excited about!,1,15,9,3,,
hit:10276_conv:20553,anticipating,I am looking forward to my wedding date!,Yes it sure is_comma_ I have know Chris since we were 5 years old. I can not believe we have finally come this far and are getting married!,That is quite unique. I am happy to hear that!,2,28,10,3,,
hit:7891_conv:15782,excited,I'm taking a trip to New York for the first time! I am looking forward to it!,I am taking a trip to New York for the first time!,Awesome! Are you going alone?,1,12,5,2,,
hit:7891_conv:15782,excited,I'm taking a trip to New York for the first time! I am looking forward to it!,No_comma_ with my boyfriend! I am looking forward to it!,That is great! Is it for vacation?,2,10,7,2,,
hit:1043_conv:2087,anxious,My dog got into some grapes the other day when my toddler had hid them in a toy and the dog found them. I know grapes are not good for dogs! It made me so nervous!,My dog got into some grapes the other day when my toddler had hid them in a toy and the dog found them. I know grapes are not good for dogs! It made me so nervous!,My anxiety would have been having anxiety - so I feel you... hows the dog doing today?,1,36,17,3,,
hit:1043_conv:2087,anxious,My dog got into some grapes the other day when my toddler had hid them in a toy and the dog found them. I know grapes are not good for dogs! It made me so nervous!,She is okay_comma_ I think she will be fine_comma_ I just do not know how many grapes is too much! She Is eaten an entire package of oreos before so I do not know :(,Awh.. if shes okay today she will be fine!,2,35,9,3,,
hit:5225_conv:10450,hopeful,Last time I ordered pizza from my local pizza shop for delivery_comma_ they forgot my sauces!! So I called and complained and was ensured that it would not happen again. So this time I put in the order and called to MAKE SURE my sauces came. They should be here any minute now.,Last time I ordered pizza from my local pizza shop for delivery_comma_ they forgot my sauces!! So I called and complained and was ensured that it would not happen again. So this time I put in the order and called to MAKE SURE my sauces came. They should be here any minute now.,I love sauces like that,1,53,5,2,,
hit:5225_conv:10450,hopeful,Last time I ordered pizza from my local pizza shop for delivery_comma_ they forgot my sauces!! So I called and complained and was ensured that it would not happen again. So this time I put in the order and called to MAKE SURE my sauces came. They should be here any minute now.,Right! It totally ruins the whole meal without them!,I do agree,2,9,3,2,,
hit:4135_conv:8270,proud,it made me happy to see my son had perfect attendance all schol year,it made me happy to see my son had perfect attendance all school year,That is great. You must be an excellent parent!,1,14,9,1,,
hit:4135_conv:8270,proud,it made me happy to see my son had perfect attendance all schol year,yea.. he didnt fuss at all this past school year.. went every day and gave it 100%!,He must be a good student too!,2,17,7,1,,
hit:7981_conv:15962,annoyed,I went to a restaurant that had call ahead seating. I called ahead and was put on the wait list. We arrived 10 minutes later as directed. However_comma_ we still have to wait over 45 minutes for our table.,"A restaurant that I wanted to eat at had ""call ahead seating"" where you can call and get placed on a waiting list. I called ahead and was told we would have a table in 10 minutes. When we arrived 10 minutes later_comma_ our table was not ready!",That is so annoying. They should not call it that if they cannot guarantee 10 minutes.,1,48,16,2,,
hit:7981_conv:15962,annoyed,I went to a restaurant that had call ahead seating. I called ahead and was put on the wait list. We arrived 10 minutes later as directed. However_comma_ we still have to wait over 45 minutes for our table.,That is what I told the hostess. There was no point in calling ahead if we still have to wait 45 minutes for a table.,Hopefully the food was at least worth the wait. I would have been annoyed as well.,2,25,16,2,,
hit:10681_conv:21362,impressed,I am so impressed by my dog. He learned 2 new tricks today,I am so proud of my puppy!,Aww! what for?,1,7,3,1,,
hit:10681_conv:21362,impressed,I am so impressed by my dog. He learned 2 new tricks today,He learned two new tricks today. I was able to teach him to give me a highfive and roll over! he is the cutest pup! :),My dog needs some good training!,2,26,6,1,,
hit:4343_conv:8687,joyful,I just found out that my parents are moving back near me! They'll be here in about a month!,I just found out that my parents are moving back near me! They will be here in about a month!,That is awesome! How long were they away,1,20,8,2,,
hit:4343_conv:8687,joyful,I just found out that my parents are moving back near me! They'll be here in about a month!,They moved away for a job about 8 years ago so its been a while. They just love our hometown so they were working to come back if they could. It makes me so happy!,I am so happy for you!,2,35,6,2,,
hit:286_conv:572,afraid,I am very scared of the ocean.,I hate the ocean. I am very scared.,That is..intriguing. Is there any particular reason why you are scared of the ocean?,1,8,14,1,,
hit:286_conv:572,afraid,I am very scared of the ocean.,I almost drowned once when I was little.,Really? Same..I was about 5 in the deep end by myself. How old were you?,2,8,15,1,,
hit:7368_conv:14736,nostalgic,I get sentimental during the holidays. I think back to the ones i had as a kid.,I love the holidays_comma_ that make think back to being a kid.,Ah same here. If only we had more holidays in a year!,1,12,12,3,,
hit:7368_conv:14736,nostalgic,I get sentimental during the holidays. I think back to the ones i had as a kid.,Yea_comma_ that would really be great. Or maybe we would get bored.,I guess we will never though unless something monumental happens_comma_ and we get another holiday.,2,12,15,3,,
hit:2418_conv:4837,anticipating,I can't wait for the new season of this is us. That is the best drama out there.,I cannot wait for the new season of this is us,I have never watched it but i have heard it is really good. Maybe I should give it a try,1,11,20,1,,
hit:2418_conv:4837,anticipating,I can't wait for the new season of this is us. That is the best drama out there.,It is. It is literally one of the best shows I have ever seen and I 've seen plenty.,Really? I will definitely give it a try. My favorite tv show is stranger things,2,19,15,1,,
hit:7023_conv:14046,excited,For Halloween last year_comma_ I dressed as a plague doctor. I couldn't wait for my friends to see how scary I looked!,Halloween is quite a big holiday where I live. People get really in to their costumes!,I have always loved Halloween! Some people get crazy creative!,1,16,10,1,,
hit:7023_conv:14046,excited,For Halloween last year_comma_ I dressed as a plague doctor. I couldn't wait for my friends to see how scary I looked!,It is peoples creativity that makes it so entertaining. Last year I went as a plague doctor_comma_ and everyone agreed it was terrifying!,That is awesome! Now that I have kids_comma_ I have even more of an excuse to go out and check out what creative ideas people have every year.,2,23,28,1,,
hit:9941_conv:19883,guilty,I took my bosses car for a drive last night.,I took my bosses car for a drive last night.,Nice! Is it a fancy One?,1,10,6,1,,
hit:9941_conv:19883,guilty,I took my bosses car for a drive last night.,Yes_comma_ it is a BMW.,Very nice! Were you excited to drive it?,2,5,8,1,,
hit:1178_conv:2357,proud,The day that my son was born.,The day my son was born was one of the best days of my life.,Congratulations! It must have been a very happy day for you and your family.,1,15,14,1,,
hit:1178_conv:2357,proud,The day that my son was born.,Thank you! It was a feeling like no other.,I could imagine. I one day hope to experience that feeling.,2,9,11,1,,
hit:8190_conv:16380,guilty,I cheated on my math final. I feel pretty bad about it right now.,Im feeling pretty bad right now. I cheated on my math final.,thats a bad feeling :/ dont be too hard on yourself,1,12,11,2,,
hit:8190_conv:16380,guilty,I cheated on my math final. I feel pretty bad about it right now.,It wasnt anything too major. I wrote a few formulas down so I would not forget them. Still kind of crummy though.,Yeah but its a test! Its not like you cheated on your spouse or did something severe! lol,2,22,18,2,,
hit:10741_conv:21483,grateful,One time a person offered to drive me home when it was raining outside,One time a person offered to drive me home when it was raining outside,He must be a good person bit if he is a stranger_comma_ is it safe?,1,14,15,2,,
hit:10741_conv:21483,grateful,One time a person offered to drive me home when it was raining outside,It was super creepy_comma_ I did not take the offer !,That is good safety first,2,11,5,2,,
hit:5637_conv:11275,impressed,My friend is a teacher and took a kid in who was being abused.,My friend is a teacher and took a kid in who was being abused.,She is a saint!,1,14,4,3,,
hit:5637_conv:11275,impressed,My friend is a teacher and took a kid in who was being abused.,She indeed is. I knew she was kind hearted but even this surprised me.,I do not know how anyone could turn an abused child away..it is not easy but they need help.,2,14,19,3,,
hit:618_conv:1236,sad,I sometimes feel sad about things when I shouldn't It might be depression.,Do you ever feel sad about things in life?,I cry everytime I watch dogs on TV_comma_ always makes me sad.,1,9,12,3,,
hit:618_conv:1236,sad,I sometimes feel sad about things when I shouldn't It might be depression.,Like the animal dog?,Yes_comma_ I a_comma_ referring to the animal_comma_ dog.,2,4,8,3,,
hit:7254_conv:14509,proud,I finally reached my weight loss target.,I finally reached my weight loss target which I have chasing for 6 months.,thats honestly amazing_comma_ keep it up and never go back.,1,14,10,2,,
hit:7254_conv:14509,proud,I finally reached my weight loss target.,Thank you. I am so proud of myself and that gives me even more motivation!,yes_comma_ i have been fighting my weight my whole life.,2,15,10,2,,
hit:8053_conv:16107,anticipating,I have to go get some shots at the doctor this week and i am not looking forward to it. I don't like shots at all,I have to go to the doctors next week_comma_ and I am not looking forward to it at all,I would not look forward to that either. What are you going in for?,1,19,14,2,,
hit:8053_conv:16107,anticipating,I have to go get some shots at the doctor this week and i am not looking forward to it. I don't like shots at all,I have to get some allergy shots. I hate getting shots. They are no fun at all. I get so nervous just thinking about it,That does not sound grand at all. Hopefully it is a painless procedure.,2,25,13,2,,
hit:7777_conv:15555,anticipating,I was really looking forward to New Year's. We were going to a nice restaurant and then eating lots of delicious food.,I was really looking forward to New Year's. We go to a celebration at a restaurant and then cook lots of great food.,Oh that sounds like fun! What types of food do you cook?,1,23,12,1,,
hit:7777_conv:15555,anticipating,I was really looking forward to New Year's. We were going to a nice restaurant and then eating lots of delicious food.,For New Year's_comma_ we make all sorts of little appetizers. It is the stuff we normally would not splurge on.,Food always makes the party!,2,20,5,1,,
hit:11468_conv:22936,content,I was thinking about my life. and i decided things are pretty good for me,I have been through a lot but now i think im at a good place in my life,That is good that you feel better! What happened to change your perspective?,1,18,13,3,,
hit:11468_conv:22936,content,I was thinking about my life. and i decided things are pretty good for me,Im not sure i think i have just learned a lot about myself,I see! Well self-exploration and reflection is usually really productive!,2,13,10,3,,
hit:11970_conv:23941,caring,My grandma is 93 and needs a lot of assistance with everyday tasks. I try to look after her as best as I can.,My grandma is 93 and needs a lot of assistance with everyday tasks. I try to look after her as best as I can.,I understand_comma_ my parents are 85 and 88_comma_ both with dementia.,1,24,11,3,,
hit:11970_conv:23941,caring,My grandma is 93 and needs a lot of assistance with everyday tasks. I try to look after her as best as I can.,Yeah_comma_ it is hard_comma_ but worth it to make things easier for them.,I am glad it is that way for you. My parents destroyed my life intentionally years ago.,2,13,17,3,,
hit:11184_conv:22369,surprised,My husband bought me a new truck. I didn't even know I was getting one.,My husband just bought me a new truck out of the blue! I had no idea I was going to be getting a new one.,Oh wow! Are you happy about the purchase?,1,25,8,2,,
hit:11184_conv:22369,surprised,My husband bought me a new truck. I didn't even know I was getting one.,Yes! I needed a new one. The other one was falling apart. I am so excited!,I would be too! What kind?,2,16,6,2,,
hit:8833_conv:17667,prepared,First time I went to my very first Dungeons and Dragons get-together_comma_ I felt really overwhelmed with all the verbiage and rules and stuff like that. Had no idea what I was doing and felt dumb. Did my best to learn what I could this time around_comma_ and I plan to not drag everyone else down,First time I went to my very first Dungeons and Dragons get-together_comma_ I felt really overwhelmed with all the verbiage and rules and stuff like that. Had no idea what I was doing and felt dumb. Did my best to learn what I could this time around_comma_ and I plan to not drag everyone else down,What is your character?,1,56,4,1,,
hit:8833_conv:17667,prepared,First time I went to my very first Dungeons and Dragons get-together_comma_ I felt really overwhelmed with all the verbiage and rules and stuff like that. Had no idea what I was doing and felt dumb. Did my best to learn what I could this time around_comma_ and I plan to not drag everyone else down,I am not sure yet actually_comma_ I think we are collectively making new ones when we gather up tomorrow. I usually play some sort of thief though_comma_ as unoriginal as that is!,Cool_comma_ well have a good time theifing!,2,32,7,1,,
hit:2388_conv:4777,guilty,I made a mistake at work but everyone blamed a coworker. I feel so bad about ir.,I made a mistake at work but everyone blamed a coworker. I feel so bad about ir.,Will you explain it to them?,1,17,6,3,,
hit:2388_conv:4777,guilty,I made a mistake at work but everyone blamed a coworker. I feel so bad about ir.,I am too afraid of the consequences and I think it is too late.,That is understandable. Hopefully_comma_ you will not make the same mistake next time.,2,14,13,3,,
hit:3927_conv:7854,joyful,I've been with my wife for 13 years.,I have been with my wife for 13 years.,That is very sweet,1,9,4,3,,
hit:3927_conv:7854,joyful,I've been with my wife for 13 years.,Thank you. She is the love of my life.,I hope to have that one day,2,9,7,3,,
hit:4116_conv:8233,hopeful,I auditioned for a spot on the LA Kings Ice Girls team. I will be so happy if I make it.,I auditioned for a spot on the LA Kings Ice girls team.,Oh? That is pretty interesting! How did it go?,1,12,9,1,,
hit:4116_conv:8233,hopeful,I auditioned for a spot on the LA Kings Ice Girls team. I will be so happy if I make it.,I think it went really well. I will find out next week if I made it.,I wish you the best of luck! I bet you did fine,2,16,12,1,,
hit:5016_conv:10032,disgusted,the way people act towards our country is disgraceful,its a shame the way some people act towards the U.S,I agree. I wish all the countries would get along. No need to be mean to each other.,1,11,18,3,,
hit:5016_conv:10032,disgusted,the way people act towards our country is disgraceful,exactly! the world would be such a better place,Also I think all the countries should allow foreigners to visit. I do not understand why they are so territorial.,2,9,20,3,,
