label,text
1,"Thanks for sharing my mom passed away on Christmas and my dad now has cancer too, Ive had no time to grieve with everything going on. Most days I just try to hold my shit together for my son is all I can do."
1,"For all those who grieve on Fathers Day, I grieve with you. . My dad died from cancer when I was 19, he was only 41. . Fathers Day brings-up a lot of reflections for me.. thinking about the time we had together, <URL>/CBsrxwqDMw0/?igshid=1ji2nya339aej"
1,You know that one set of songs that you listen to grieve in advance? Yeah... thats how todays going... why does cancer have to create this much pain man... just... why...
1,"Its honest. Ex: Ppl were fatigued by MY cancer battle when they had their health.Not the same;similar principle-it wasnt about them, just like this isnt about white ppl.Frustrating & unfair,but ppl need to grieve what they may not understand,in order to do their part"
1,"I had a preacher explain to me that someone who dies of scuidcide is no different than someone dying of cancer. Mental illnesses, addictions, and depression keeps someone from being able to grieve and heal from lifes painful moments. It builds up. Theyre sick. They cant love."
1,"I grieve the fact that I couldnt be with my sister at the end, when she was dying of cancer. I miss my family who live 400 miles away. But I am so very thankful for my wonderful and amazing son and husband!"
1,"#Psychological impacts are diverse. #retinoblastoma strips away security. We #grieve many times over: lost innocence, childhood, sight, hopes and dreams, broken faith, prime adult years lost to late effects & second cancers, treasured family and friends"
1,"I lost my parents 10 yrs ago within 57 days of each other. Mum had cancer, dad MND. Dont understand the long term effect on your own health this can have. I couldnt grieve for Mum as Dad was dying. It took so long to recover. Please continue to be gentle with yourself."
1,We came home because my husbands mother died of cancer 22.03 then lockdown then stranded with no wages anything. He cant even grieve through all the stress associated with this I think its a disgrace putting people through this
1,"I've been suicidal for years, that feeling doesn't just brush off. I don't even know whether I survived depression coz I get triggered bt I told myself tht I don't want to put my loved ones in an immense grieve because I'd lost my best friend to cancer & the pain was unbearable"
1,"The talented man who cut my hair these past 30 years, thru daughters wedding and no-hair breast cancer, committed suicide Thursday. I grieve for you Reiner Schaefer. I grieve for your parents. But most especially, as a survivorof suicide by a parent, I grieve for your children."
1,"Today, we lost a warrior to occupational cancer. Cancer claims far too many firefighter lives every year. While we may grieve today, we can also celebrate a champions life. Rest easy Captain deHaro. Your legacy will live on! #cancersucks #firefighter #LODD"
1,"Last fall I held my dog as she passed from lung cancer. She was my best friend through grad school. Take your time to grieve, and know that the indomitable waves of pain & sorrow will one day be replaced with happy tears that such a wonderful life was woven into yours."
1,"I cant imagine hun, especially at the moment where nothing is normal, so like you say, you cant even grieve properly for him. Cancer is a c**t of a disease!! Sending you lots of love x"
1,The pain from seeing cancer and lifes shittiness eat away at my dad is unimaginable and I havent figured out how to grieve but I probably need to dissolve into tears at some point soon
1,"Sadly many of us do not have time to Grieve. My son died from cancer but his body cannot be laid to rest & he would not rest until ALL lives are valued. No one life is more valuable than another.All lives are important! Love, light & blessings to you and yours."
1,My Nana died of liver cancer in 2017 and Im still not over her. Vanessa lost the love of her life AND her own flesh and blood 4 MONTHS AGO? Why cant people just let her grieve in peace?
1,"When your loved one dies of natural causes, cancer, etc. it hurts. You grieve the loss but I cant imagine the pain of losing your loved one in such an unnecessary, violent act."
1,I took two days off work when I had to put down my boy in my twitter pic. It was one of the most horrible days of my life - and Ive had cancer 3 times so Ive had some pretty bad days. Grieve lady. Im so sorry.
1,"Today marks a year that I lost my grandpa to cancer, its extremely heavy on my heart cause I never got to grieve properly because of something I had to deal w shortly after he passed. This man was such an amazing grandfather...Ill never forget his Donald Duck impressions..."
1,"Thank you. Its appreciated. Her name was Laura and she was too young to have lost a battle with cancer. I took some time off work and off the internet to grieve. I wouldnt say Im over it, but I cant stay silent. E3 is disappointing, hopefully next year we can see you again!"
1,A potential 400-650 kiddos died (1800 die a yr from cancer in US) and their families could not honor them or grieve or mourn them properly with family around to support them. Butt hurt might be the wrong term here. Its LEGITIMATE hurt.
1,My daughter died 3 wks ago from cervical cancer. Visitation & Funeral were limited because of Chy-na. I grieve with you <USER>
1,"I sometimes deeply grieve, Who will officiate my funeral now? Church betrayal. Cancer Issues. Be a real shepherd."
1,TW: PET DEATH Some of you know my corgi was battling cancer. He lost that battle last night. Im going to be taking an Internet break while I grieve and Ill be back when I can.
1,"Imagine the grief of those who lost loved ones and couldnt say goodbye, yet tens of thousands gather to say goodbye to a total stranger - Covid +, and thats ok? My aunt died of cancer on May 21, she was like a mom to me after my mom passed. Why couldnt I grieve at her casket?"
1,Lost dad to cancer 4/1. Had to pickup his ashes curbside and no services or family gathering to grieve. Had I known I wouldve called it a protest and burned down and house
1,"It is with heavy hearts that we share the loss of alumni parent Alan Smith who lost his battle w/ cancer this week. Please keep his wife Joyce & sons Ian ('10), Jordan ('13), Ryan ('15), and Griffan ('17) in your prayers as they grieve this terrible loss."
1,"I lost a very special friend this week. Cancer took his life. Ive been upset, but trying to stay together. If youre mourning a loss, I grieve with you. I understand. God understands the pain. I remind myself, He is still in control ! Death will END one day , Jesus will return !"
1,Today has been completely utter shit. My Aunty has been taken into hospital and my nieces Aunty has just died from cancer. People who I care about cant even grieve together right now
1,Corona has affected so many indirectly. My mom died right before lockdown (cancer). Im an only child and have struggled to grieve ever since. We had a very bad relationship and to deal with all of that on my own (Im single so no touching anyone) has been literal hell...
1,"My dad passed away on January 19th, 2017. I love listening to Garth Brooks because despite him having cancer, paralyzed, and on his death bed, <USER> always made him smile. I cant wait until I can see Garth live. Your songs helped me grieve my dads death in a healthy way."
1,"My father died of cancer on 4/1. No wake, no gathering, and I had to pickup his ashes at the curb of the funeral home like I was ordering fast food. That people werent allowed to grieve but this is allowed is downright disgusting"
1,Absolutely agree. My fianc's mother passed away from cancer in April. We were unable to visit her in the hospice due to restrictions. we could only have a handful of people at the funeral. It's very difficult to even grieve at this time. But it's OK for a mass gathering in town?
1,"Fucking well said, angers me so much. My dad lost his battle with cancer, only handful could attend & Ive had to grieve alone. Then Ive not seen my terminally ill mum for 12 weeks because lockdown. Oh, but dont worry you enjoy getting steaming with all your pals!"
1,I havent been posting much as my stepmom passed away on the evening of my birthday on Friday. Cancer is so so cruel. Im going to take my time to grieve and get back to posting about tech stuff when Im ready.
1,I know I havent been myself lately. On top of everything going on in the world someone I cared for lost their battle with cancer and Ive been going about my emotions the wrong way and Ive said some shit I didnt mean to people i care about. I didnt take the time to grieve -
1,"My grandma has fought her whole life through multiple heartbreaks, childbirth, and many cancers over the years... can I just ask if yall can keep her in your prayers please?"
1,Yall Im kind of over 2020 heartbreaks but this year doesnt seem to care what the hell we want. This weekend I learned my Uncle Ralph has cancer. Hes alway been a quiet man who never really knew what to do with his overly dramatic nieces.
1,My heartbreaks for my Nan. She lost her sister to cancer last night and she cant say goodbye properly with everyone around her:((( wanna give her a big squeeze
1,"She was widowed fairly youngish,, lost a daughter to cancer shortly thereaftershe has weathered a lot of heartbreaks."
1,Every time my grandmas cancer comes back my heartbreaks a little more. I dont know how much more it can take
1,"And I just wish he was here to talk to about stuff because he would know what to say or do to make me feel better. Ive lost my father, my last grandparent, my mother had fought and beaten cancer, Ive gone through a few relationships and heartbreaks. Its honestly been rough."
1,"""I just freaking love you. Honestly, I didnt really get it until my 30s; until the dramas of life started to be really critical. Lifetime level #heartbreaks, pregnancies, #cancers, #divorces, #death. The #realstuff. The real real."" #Sisterhood"
1,men go thru Homosexual rape/harassment/molestation Divorce raped in family court 1000s of rejections and heartbreaks Prostate/testicular cancer Loneliness Being shamed by society for not being in a 9 to 5 job Depression via a job they're in just so they could provide for a woman
1,"Im def not a Cancer, but trust me....most of my heartbreaks have come from Cancers, starting with my dad."
1,Every heartbreaks tends to be the cancer of our life.
1,"Hayley was a pound puppy. We first met when I was getting off the school bus in January of my junior year of high school. Shes carried me through so much since: heartbreaks, my moms cancer diagnosis, college, marriage, moving overseas, etc."
1,"dear past me, youre strong. no one can beat you. life is going to be super hard from now on and you will have to overcome cancer, heartbreaks, family matters and awful choices but you will be stronger. youre the most important person for you and you nee"
1,"dear past me, youre strong. no one can beat you. life is going to be super hard from now on and you will have to overcome cancer, heartbreaks, family matters and awful choices but you will be stronger. youre the most important person for you and you need to hold on. i love you"
1,"Hey yall... please send up some prayers for my line sister. She is preparing for surgery on the 19th. She is battling stage 4 breast cancer. She has never missed any event in my life, from heartbreaks, birthdays, births to victories... not one. Thank you"
1,Ive legit been through so much and never actually dealt with it. Ive pushed them aside from my childhood to my cancer to heartbreaks....but its ok
1,"Shes been my rider since 1992 weve gone through heartbreaks, having children, marriage, divorce, cancer, emergency surgeries, military lifestyle, long distance, close distance, Vacations,retirement, and anything... <URL>/posts/10213175550006901/"
1,"Ive devastated. The music of aperfectcircle has held my hand through my cancer, heartbreaks, any difficult time over the past thirteen years. Last night was supposed to be truly special. <URL>/BrDGZMln7Nx/?utm_source=ig_twitter_share&igshid=5c9qtv5uhyg9"
1,"Meet my little sister Sherry. She passed away last year after living gloriously for fifteen years & beating cancer. She was there through our middle/high school years, first loves & heartbreaks, traveled the country, saw us get married. Loved deeply & infinitely #heckcancer"
1,"My heartbreaks to hear the news that my childhood friends amazing mother has been diagnosed with terminal cancer. Her only wish is to provide a beautiful feature full of fun, laughter, and memories... <URL>&id=564751323"
1,"If you dont know by now, last month we had to put Jack down due to cancer. After all the goodbyes and heartbreaks ive had this last year this was by far the <URL>/Bocfmv3BNyBNEmvZ8UpCrSBXWPtQqhE06lWgB80/?utm_source=ig_twitter_share&igshid=1dui2kkhk3iuz"
1,Man...today my heartbreaks. Find out from a phone call with my mom that my dad was diagnosed with lung cancer & lymph node cancer
1,After a hard fought fight with cancer heaven gained a beautiful angel It is heartbreaking to see cancer take an incredible soul. You arent in pain anymore which brings me so much peace.I now have some of the best guardian angels always with me. Riposa in pace Nonna
1,My last labrador died of cancer too heartbreaking
1,"Being an oncology nurse is rewarding and also heartbreaking, tonight I feel broken at the news I've just heard. Life is SO precious and we must grasp it with both hands! Cancer doesn't care about your age, gender, status, wealth, anything...."
1,"I'm one of the thousands of extra cancer deaths we'll see this year, many caused by delayed treatments as a result of NHS underfunding, says Prof Val Curtis. Heartbreaking! Covid-19 is making things worse, with a feared extra 35,000 cancer deaths predicted"
1,"My aunts friend thought she had Covid. Went to the hopital to be testing, they found cancer and told her she had 24 hours to live. Unfortunately they were right. She was her husbands care taker. Its so heartbreaking."
1,"Its true. My daughters exs mom had breast cancer, beat it. Now shes dying from aml leukemia. Heartbreaking."
1,Utterly heartbreaking I wish I could unsee this it makes me so sad and furious that a innocent darling baby is discarded like a piece of rubbish and for someone like myself who is struggling to conceive due to cancer it's even more upsetting that people could do this
1,Yes it does cuz my dear mama passed away from cervical cancer. She suffered for two long years. It was the most heartbreaking and devastating illness Ive ever seen. May she Rest In Peace.
1,watching my dog die of cancer after just losing the last dog i watched die of cancer (his daughter) is absolutely heartbreaking
1,I find it increasingly heartbreaking that there are people out there who actively seek to undo the work of people like John Lewis. He died fighting two cancers. One form still survives him. We need to do better.
1,Just got the heartbreaking news that one of my former teachers succumbed to cancer at a far too young age. Really sad to hear about that. Rest in peace :(
1,"I am so ready to give up.. having cancer now for 3rd time..I'm exhausted, I have tried everything. Been a paralegal for over 25 years and being independent ally life..NOW I have to resort to asking for help is heartbreaking.."
1,Heartbreaking news I am afraid. Darling Angel Baby Sam Cat passed into Spirit yesterday aged 25 years. He has fought Cancer bravery for years. I know he is at peace in the spirit world I have seen him several times already
1,I am a parent in VA. Watching my kids fall behind is heartbreaking. Online school was a joke. I am lucky I can teach subjects like algebra and pre-calc. Many parents cant. I have cancer but will sacrifice for their future.
1,Dear #Cancer Please leave us alone and allow us a chance at life. Cancer has taken over my timeline and it's heartbreaking. So heartbreaking.
1,"You have such a bad timing God! John Lewis, RBG has cancer again. Why?! Heartbreaking"
1,This is heartbreaking. I lost my mom to lung cancer a few years ago and though I still miss her terribly I am so grateful I had the honor and privilege being by her side when she passed. I hope you are able to find peace.
1,"Heartbreaking news. So painful, I lost my dad to liver cancer."
1,"Absolutely heartbreaking. Lost my S.O. to liver cancer not quite one year ago. This doesn't look good, but I'm hoping."
1,Cancer blows. A friend of mine just lost his wife to it last night. Heartbreaking R.I.P. Jo
2,"My husband had multiple cancers. It is so heartbreaking to hear your news. Stay strong. Think of NY GovCuomo and be NY Tough! He inspires me when Im feeling down. You will get thru this, and I hope you will be home again soon! Sharing Love Always!"
1,cancer is such a horrible fucking disease heartbreaking
1,"2 weeks ago and he was admitted to the hospital. After years of struggle against cancer and days of fight against COVID my father passed away yesterday, just a few days shy of his 74th birthday. My sorrow over losing my father is deep however Im also at peace knowing that (2/5)"
1,"My first fur child died today after being diagnosed with cancer following a fall just one week ago. She was the center of our universe for almost 12 years. Her 12th bday was just 12 days ago, and we feel robbed of time. I am filled with sorrow. Hug your loved ones."
1,"When his daughter is dying from cancer, he sits by her side. He hangs his head in sorrow, quietly watches her struggle, and wishes it was him instead. When she dies, another part of him dies too. He and his son comfort each other, lost in a world of grief."
1,It's with sorrow I must inform y'all that my niece's cancer has likely returned. She's going in for her second scan today to see how much has returned and what the next step is going to be. Please take a moment to <URL>/CCwIsbms1Nh/?igshid=1odoxfm9gugnc
1,I delayed hernia surgery due to covid to be diagnosed with a very large ovarian tumor and its needing out. The ovarian cancer test came back positive but biology negative but time is of the essence. The real heartache is many of us delay when we shouldnt. And its not ok.
1,"2020 has been filled with a lot of heartache for my family.. My dad was recently diagnosed with Melanoma, which is the most aggressive skin cancer. Bc of Covid, his surgery isnt scheduled until next month. Please keep him in your prayers as this timeline is so crucial."
1,"When I was going through the storm of #cancer, people always said that cancer shouldnt define u. I disagree. Cancer defined that year for me & my #family. Through #heartache came a beautiful #opportunity to help others & share love"": https://buff.ly/2UJudX8 <USER>"
1,Cancer isnt something anyone really thinks about until they see someone they love suffer from it. Mawmaws breast cancer came back metastatic when she relapsed. Now its in her brain. Hearing the rasp in her voice makes my heart ache. I cant even describe how stressful this is.
1,This makes my heart ache. I am going through chemotherapy for an aggressive form of cancer. I saw my mom & dad right before my treatment started. Thank goodness they made that trip in February.
1,"We lost one of our closest friends to Cancer this week. Her service was held today and there are no words to describe our heartache. T was not only my friend, she was my sister in Christ, and my prayer warrior. <URL>/CBrllZ2jST4/?igshid=1n2n2dsgejegl"
1,My mom lost her best friend since childhood to cancer a couple of years ago. The next year my brother died at age 28. Now my aunt whos like a best friend to her is in the hospital with Covid and pneumonia. This woman has been through too much heartache.
1,Two years since this one stopped squeezing my hand . Caring for him through 7 years of cancer was both horrendous & a privilege. I still have heartache. Cherish those you love.
1,I hope & pray my boyfriends cancer could just go away. Not being able to be with him kills me every single day. Not being there for the ones you love is the worst heartache possible.
1,So if I didnt test my son for cancer he wouldnt have had it? It would have saved me so much heartache.
1,Last night we lost my mother in law. She fought cancer hard for a year and half. I dont think Ive never known true heartache until I watched my kids hearts break. We will miss you Nana. You are at peace now
1,"My biggest personal heartache of 2020 My guy and I had planned a whole trip to Italy around my obsession to have gelato stuffed brioche for breakfast - its a real thing Covid came, Breast cancer came but gelato stuffed brioche did not"
1,"This is without a doubt THE hardest thing Ive ever done and I know that. Even over above losing my aunt sandy to cancer, which also was so hard in its own right. I had hoped that that was the only heartache wed have to experience for awhile."
1,"And just as I thought it couldnt get any worse, cancer is a bitch and my godmother is gone forever Ive never experienced heartache like this before"
1,"And if you want to know more about this crank. My Mum moved away when I was a teenager so I lived with my aunt & then godfather. My Mum died of cancer when I was 23 (she was 42)! I have known abuse, grief, heartache & shame. And also joy, happiness & love. Ill speak out."
1,"Dear Cancer, I HATE YOU. How many loved ones does cancer need to take? You have already taken a lot from everyone. Why dont you go away and never come back. You have left a heartache no one can heal ever. P.s - #Ihateyou"
1,Im more tearful this time. Probably cause Tonys anger turned into heartache. I can feel the pain in his heart. Fcuk cancer. Miss you Papa.
1,"My heart hurts. A friend whos young son is dying from cancer. My nephew dealing with major health issues, my grandma with a positive #Covid diagnosis. I cant see any of my people, which seems like such a small issue. But in the face of heartache, I need to see my people."
1,Someone please let me in on the secret to calming the heartache of having a pet diagnosed with untreatable cancer
1,My 35 year old parrot just had a stroke. My 12 year old dog had cancer. Ill never get another pet again as long as I live. I cant take the heartache
1,"If it was just the lung cancer that my mom is fighting, my dear Dad could be there with her. Holding her hand. But no. Because she has Covid he cant even enter the hospital. I have so much unbelievable ANGER and heartache."
1,"I hate seeing some memories come up from 2018. It was such a shit year. I was in such a bad place. My daughter was diagnosed with brain cancer. Heartache kept hitting me left and right. Im still not at peace with it. i work on myself everyday, Im the only person i can change."
1,Prayers for <USER> assistant coach John Robic and his family as they mourn the loss of their daughter. Cancer is such an awful disease. I have two daughters and I cant imagine the heartache. #BBN grieves with you and loves you very much.
1,Cancers are yawl okay? Its a lot of heartache and grief in yawl April Oracle. :( Im sorry.
1,"It is with great sadness and heartache that we announce the passing of our amazing member, Eric B. Storey. Eric passed away peacefully in his home after his long battle with prostate cancer. Eric has gained the respect and friendship of IREM Members throuhttps://lnkd.in/gsMKQnk"
1,I am so sorry. I lost my Daddy to Cancer when I was 16. I cant imagine the heartache you & your family must feel regarding the delay in honoring his life bc of COVID 19. Prayers for you all
1,"At 60, mum was diagnose with terminal cancer, as a family we had to collectively make a decision on DNR & end of life plan. A necessary discussion that no one wants, as a nurse (retired) I've seen terrible heartache when things are left unsaid & unqualified. Horrible situation"
1,"Not being able to see my uncle because of this fucking quarantine is a different kind of heart ache. He's in his final stage of cancer, & my family and I can't even be by his bed side to enjoy the time we have left. People can't do one fucking simple thing. STAY THE FUCK HOME"
1,Miss my granddaughter so much. Shes 6 with mild asthma. Im 60 with cancer remission and heart&lung problems. Were isolated separately. Most people are separated from loved ones too. The heartache is real. #COVID sucks. #StayHome is smart. #FlattenTheCurve now to hug later.
1,"What a woman! Read this statement. Christ, it's her fourth or fifth cancer, and she's optimistic? And liver cancer? She is a true hero, a role model we sorely lack in this wounded nation."
1,"19yrs ago I was caring for my terminally ill mother who was losing her battle with cancer. I vividly remember 9/11 as the day she gave up. She watched in horror the attack on our nation, she cried all day, it wounded her soul. She told me she didn't want to live anymore 1"
1,"My father served in WW2, was wounded & suffered mentally due to the atrocities of the enemy & attempted suicide. My mother worked in an ordinance plant, & eventually had cancer due to the chemicals used. Their contributions are not to be sacrificed to DJTs debts & failed economy"
1,My husband definitely deserves a compliment. He is a Purple Heart wounded combat wounded veteran. He then came home to only be diagnosed with cancer. He had lived down wind of the burn pits in Iraq. He is 5 years cancer free and has coached both his daughters in softball.
1,"My nephew was in Desert Storm! He did 30 yrs. Special Forces & Retirement was 2016!Iraq Several Times, Afghanistan, 3 Times, Bosnia, Border of N& South Korea! Somila! PDST, Cancer of the face! My love to all Soldiers, Families of Decease,& The Wounded!"
1,"The DeLorean from Back to the Future. I'd like to go back to the 80s and tell my younger self to stay out of the sun and tanning machines so in his 50's he won't wind up with Stage 3c Melanoma cancer, surgeries, skin grafts, scars, etc. And the enormous cost! It sucks."
1,"I have your scars in my heart ,dont worry I wont forget you. the pain will remind me of you ."
1,and then i fucking get cancer at 21. and cant go to school. and like i already switched majors twice now and cant leave my bed and have these giant scars on my neck that peiple from my hometown ask and say that i tried to kill myself because i went to the psych hospital before
1,It takes a while to heal after cancer treatment. RT <USER>: I am covered in scars. They traverse my torso and tell the tale of my four and a half year battle with #cancer. I have walked through fire and I have survived. But I am not healed.
1,"""I am covered in scars. They traverse my torso and wordlessly tell the tale of my four and a half year battle with #cancer. The black that once circled my eyes has disappeared. I have walked through fire and I have survived. But I am not healed."" https://bit.ly/3h3XZif"
1,"Also, the scars from my cancer surgery are on the top of my head. So, I'm forced to grow my (graying) hair out rather long these days."
1,"no i'd tell you as the child of a now deceased cancer patient, and as a cancer(currently) survivor that you are full of shit, and then i'd show you the scars"
1,"Erics first symptoms of his cancer were headaches, so everytime I get a headache for a couples days I start over thinking and thinking I got cancer like he did. Yall have no idea how scary and how stuff like this scars people for life."
1,Skin biopsy day. These r going 2 leave scars. Better 2 have scars on my face than have cancer in my body. 2 weeks for the results.Time to fight the good fight. #cancersucks #readytokickcancersass #cancerawareness #skincancerawareness #stayoutofthesun <URL>/CCobAsZj4B2/?igshid=1k92tj7j5fs9r
1,"Every since my cancer diagnosis on my 18th birthday its been kinda hard to celebrate. I always get super emotional because the scars from that day just wont heal, but my husband got this painted just for me!I cant believe Im 27, and its my 9th year being a cancer survivor"
1,"Personally, I'd look pretty weird bald. I have pretty good hair, and now I'm forced to grow it out long to cover up a couple of scars from a nasty bout of skin cancer from earlier this year. (Wear a hat, kids!) Even more reason to hope I don't go bald. hahaha"
1,Diary of a cancer survivor My crutch is my story My scars are reminders of when bone cancer tried to kill me but failed #juicedollbrandambassodor #cancersurvivor
1,"My dad had a lot of scars from cancer surgeries. They really bothered him, and it always broke my heart that he didn't see them the way we did. Those scars meant that he was alive. That he had survived."
1,I saw people post their scars and skin cancer scares online but always thought 'that will never happen to me'
1,"I'm all for optimism but all I've received from my (lower risk) skin cancer are scars from ""mandatory face lifts"", as I fondly refer to them #CancerSucks"
1,"Theres one on my face from birth that people always ask about which really kills my self esteem ( examples : whats that on ur face , did u have cancer there ? , whats wrong with ur face etc) , I have scars from losing weight as a baby cause I was sick ,shaving scars and"
1,When you call me scrony. I had starved myself because you called me fat. When you make fun of my scars. I went through a bit of abuse. You make fun of me for crying. my grandma died from cancer. So stop thinking you know me.
1,Kick cancers ass again man! My wife beat an aggressive breast cancer while pregnant 4 years ago and though it hasnt come back it has a PTSD like hold on all our thoughts. Sometimes those are the scars we hide the most. Ill says some prayers for you and keep fighting isaac.
1,JustGrateful's Question on WhatNext: I can already see that I am going to have a body covered with scars after this is all over. <URL>/i-can-already-see-that-i-am-going-to-have-a-body-covered-with-scars-after-this-is-all-over
1,"No, she actually had Breast Cancer , and then the reconstruction (Which is a 10 hour procedure) Her scars from the surgery may still be hurting her and the posture is a way of minimizing that pain."
1,"Grieving over a furry loved one is unlike anything I have ever experienced. In Chocos memory, weve made donations to <USER> <USER> & <USER> - consider supporting an animal rescue or pet cancer support group. #celebratingchoco #alwaysadogmama"
1,she is a fighter...to be sure. survivor of colon cancer surgery in fall '18. heart arrhythmia this year. still she fights. it has been a good thing for us both. many scars healed in battles near and far
1,"Thank you for being such a great mom. You were a warrior. Scars on your hands from third degree burns you got for stopping an oil fire in the house. 9 year colon cancer survivor. You and dad lived the American dream, <URL>/CCZmwbxpn9W/?igshid=tv1p3hpi4pxn"
1,"I think of Uncle Ed and Uncle Chuck. Chuck was in Morocco and Ed, Vietnam. Neither had a welcome home and both retained scars and nightmares from their time at war. Google American Embasy in Morocco circa 1970ish. Uncle Ed: Shrapnel in his back and later cancer."
1,"My other half is like a virtual Atlas of skin cancer cut and shuts. Scars everywhere, he's regularly under the knife. The curse of gingerhood I guess"
1,"Ive got mental and physical scars. That do? Had cancer three times, got a genetic mutation which means Im 70% likely to get bowel cancer."
1,Eight months ago my beautiful Oliver passed away from cancer. I miss him more each day. Time does not heal every wound. The scars are too deep.
1,Fly high friend! You were definitely a fighter. Thru it all you kept your humor. Your posts were inspiring. Fuck Cancer #Repost <USER> Made by image.downloader     My scars are my war wounds! Please <URL>/CCRSiIwlH1L/?igshid=xo2er2wdy5ag
1,Four years cancer free this week. I don't even think about it that much but then the scars give me a reminder.
1,If you could see what cancers I had And the scars I have I'm down to my skull I wear 2 cut off hoodies with a beautiful scarf I carry a SunGuard umbrella I lost my vehicle after my rent tripled I now walk 40 mins to family Dollar & IGA to get groceries I've gotten so hot I felt
1,if only my scars could be cancer and stop hurting me i could die in peace but every night it becomes a stronger and more painful scar than yesterday
